2018-10-11 21:40:52.480 [http-apr-8080-exec-9] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'yto-dispatcher': initialization started
2018-10-11 21:40:54.217 [http-apr-8080-exec-9] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'yto-dispatcher-servlet': startup date [Thu Oct 11 21:40:54 CST 2018]; root of context hierarchy
2018-10-11 21:40:54.387 [http-apr-8080-exec-9] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [H:\ideaCode\yto\target\yto\WEB-INF\classes\spring\spring-dao.xml]
2018-10-11 21:40:55.452 [http-apr-8080-exec-9] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [H:\ideaCode\yto\target\yto\WEB-INF\classes\spring\spring-service.xml]
2018-10-11 21:40:55.752 [http-apr-8080-exec-9] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [H:\ideaCode\yto\target\yto\WEB-INF\classes\spring\spring-web.xml]
2018-10-11 21:40:59.540 [http-apr-8080-exec-9] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/insert],methods=[POST || GET]}" onto public yto.net.cn.dto.Result<java.lang.Integer> yto.net.cn.controller.YtoTestController.insert(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-10-11 21:40:59.540 [http-apr-8080-exec-9] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/hello]}" onto public java.lang.String yto.net.cn.controller.YtoTestController.hello(java.lang.String)
2018-10-11 21:41:00.327 [http-apr-8080-exec-9] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'yto-dispatcher-servlet': startup date [Thu Oct 11 21:40:54 CST 2018]; root of context hierarchy
2018-10-11 21:41:00.465 [http-apr-8080-exec-9] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'yto-dispatcher-servlet': startup date [Thu Oct 11 21:40:54 CST 2018]; root of context hierarchy
2018-10-11 21:41:00.643 [http-apr-8080-exec-9] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2018-10-11 21:41:03.462 [http-apr-8080-exec-9] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'yto-dispatcher': initialization completed in 10966 ms
